Class,Sensitivity (%),Specificity (%),Precision (%),Accuracy (%)
C1,63.70449678800857,44.13012729844413,60.1010101010101,55.27117611212675
C2,35.11777301927195,70.6984667802385,32.28346456692913,60.572821450335155
C3,9.375,96.11650485436894,13.043478260869565,91.0420475319927
C4,16.0,97.79364049318625,32.0,92.80926264472883
C5,25.0,99.18597370068879,45.83333333333333,97.19683120048751
