Class,Sensitivity (%),Specificity (%),Precision (%),Accuracy (%)
C1,97.613721103654,17.68033946251768,69.22263352723427,70.01953125
C2,9.635974304068522,95.95192915876028,41.284403669724774,76.26953125
C3,2.083333333333333,99.84631147540983,40.0,95.263671875
C4,8.0,99.07597535934292,30.76923076923077,94.62890625
C5,15.909090909090908,99.50099800399201,41.17647058823529,97.705078125
