Class,Sensitivity (%),Specificity (%),Precision (%),Accuracy (%)
C1,58.55855855855856,47.12460063897764,49.542682926829265,52.49788314987299
C2,43.447037701974864,62.82051282051282,51.0548523206751,53.683319220999145
C3,11.594202898550725,96.13309352517986,15.686274509803921,91.1939034716342
