Class,Sensitivity (%),Specificity (%),Precision (%),Accuracy (%)
C1,86.42803877703207,39.321074964639315,72.98488664987406,70.166015625
C2,27.40899357601713,87.03352308665401,38.43843843843844,73.4375
C3,11.458333333333332,97.23360655737704,16.923076923076923,93.212890625
C4,11.0,98.92197125256673,34.375,94.62890625
C5,29.545454545454547,99.15169660678643,43.333333333333336,97.65625
