Class,Sensitivity (%),Specificity (%),Precision (%),Accuracy (%)
C1,87.47323340471092,39.603960396039604,65.67524115755627,66.84948202315661
C2,30.620985010706637,86.37137989778535,47.194719471947195,70.50578915295551
C3,3.125,98.38187702265373,10.714285714285714,92.80926264472883
C4,13.0,98.83192731992213,41.935483870967744,93.60146252285192
C5,47.72727272727273,99.12335629304947,60.0,97.74527726995734
