Class,Sensitivity (%),Specificity (%),Precision (%),Accuracy (%)
C1,63.276231263383295,44.6958981612447,60.18329938900203,55.27117611212675
C2,35.33190578158458,70.6984667802385,32.416502946954814,60.633759902498475
C3,1.0416666666666665,96.50485436893203,1.8181818181818181,90.92017062766605
C4,16.0,96.17131732641143,21.333333333333336,91.28580134064595
C5,25.0,99.43644333124608,55.00000000000001,97.44058500914076
